"book_id","title","author","description","publisher","year_published","genre","price","rating","copies_sold"
1,"In Search of Lost Time","Marcel Proust","Swanns Way, the first part of A la recherche de temps perdu, Marcel Prousts seven-part cycle, was published in 1913. In it, Proust introduces the themes that run through the entire work.","Grasset and Gillimard",1913,"Modernist",11,8,10
2,"Ulysses","James Joyce","Ulysses chronicles the passage of Leopold Bloom through Dublin during an ordinary day, June 16, 1904.","Shakespeare and Company",1918,"Fiction",7,7,19
3,"Don Quixote","Miguel de Cervantes","Alonso Quixano, a retired country gentleman in his fifties, lives in an unnamed section of La Mancha with his niece and a housekeeper.","Francisco de Robles",1605,"Fiction",16,8,40
4,"One Hundred Years of Solitude","Gabriel Garcia Marquez","One of the 20th centurys enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement in a Nobel Prize–winning car...","Jonathan Cape",1967,"Magic Realism",13,10,104
5,"The Great Gatsby","F. Scott Fitzgerald","The novel chronicles an era that Fitzgerald himself dubbed the ""Jazz Age"". Following the shock and chaos of World War I, American society enjoyed unprecedented levels of prosperity during the ""roar...","Charles Scribners Son",1925,"Tragedy",9,9,30
6,"Moby Dick","Herman Melville","First published in 1851, Melvilles masterpiece is, in Elizabeth Hardwicks words, ""the greatest novel in American literature."" The saga of Captain Ahab and his monomaniacal pursuit of the white wh...","Charles Scribners Son",1851,"Adventure",5,6,2
7,"War and Peace","Leo Tolstoy","Epic in scale, War and Peace delineates in graphic detail events leading up to Napoleons invasion of Russia, and the impact of the Napoleonic era on Tsarist society, as seen through the eyes of fi...","The Russian Messenger",1865,"Novel",7,7,25
8,"Hamlet","William Shakespeare","The Tragedy of Hamlet, Prince of Denmark, or more simply Hamlet, is a tragedy by William Shakespeare, believed to have been written between 1599 and 1601. The play, set in Denmark, recounts how Pri...","Simon & Schuster",1865,"Tragedy",4,8,29
9,"The Odyssey","Homer","The Odyssey is one of two major ancient Greek epic poems attributed to Homer. It is, in part, a sequel to the Iliad, the other work traditionally ascribed to Homer. The poem is fundamental to the m...","Simon & Schuster",1614,"Epic Poetry",4,4,12
10,"Madame Bovary","Gustave Flaubert","For daring to peer into the heart of an adulteress and enumerate its contents with profound dispassion, the author of Madame Bovary was tried for ""offenses against morality and religion."" What shoc...","Revue de Paris",1856,"Realist Novel",6,6,18
11,"The Divine Comedy","Dante Alighieri","Belonging in the immortal company of the great works of literature, Dante Alighieris poetic masterpiece, The Divine Comedy, is a moving human drama, an unforgettable visionary journey through the ...","Simon & Schuster",1472,"Narrative Poem",3,7,13
12,"Lolita","Vladimir Nabokov","The book is internationally famous for its innovative style and infamous for its controversial subject: the protagonist and unreliable narrator, middle aged Humbert Humbert, becomes obsessed and se...

","Olympia Press",1955,"Narrative Poem",7,10,150
13,"The Brothers Karamazov","Fyodor Dostoyevsky","Dostoevskys last and greatest novel, The Karamazov Brothers, is both a brilliantly told crime story and a passionate philosophical debate. The dissolute landowner Fyodor Pavlovich Karamazov is mur...","The Russian Messenger",1879,"Philosophical Novel",6,6,6
14,"Crime and Punishment","Fyodor Dostoyevsky","It is a murder story, told from a murder;s point of view, that implicates even the most innocent reader in its enormities. It is a cat-and-mouse game between a tormented young killer and a cheerful...","The Russian Messenger",1866,"Fiction",6,7,67
15,"Wuthering Heights","Emily Bronte","The narrative is non-linear, involving several flashbacks, and two primary narrators: Mr. Lockwood and Ellen ""Nelly"" Dean. The novel opens in 1801, with Mr. Lockwood arriving at Thrushcross Grange,...","Thomas Cautley Newby",1847,"Tragedy",5,6,24
16,"The Catcher in the Rye","J.D. Salinger","The Catcher in the Rye is a 1945 novel by J. D. Salinger. Originally published for adults, the novel has become a common part of high school and college curricula throughout the English-speaking wo...","Little Brown and Company",1951,"Fiction",5,5,54
17,"Pride and Prejudice","Jane Austen","The book is narrated in free indirect speech following the main character Elizabeth Bennet as she deals with matters of upbringing, marriage, moral rightness and education in her aristocratic socie...","T. Egerton",1813,"Romance",4,6,13
18,"The Adventures of Huckleberry Finn","Mark Twain","Revered by all of the towns children and dreaded by all of its mothers, Huckleberry Finn is indisputably the most appealing child-hero in American literature. Unlike the tall-tale, idyllic worl...","Chatto & Windus",1884,"Novel",5,6,36
19,"Anna Karenina","Leo Tolstoy","Anna Karenina tells of the doomed love affair between the sensuous and rebellious Anna and the dashing officer, Count Vronsky. Tragedy unfolds as Anna rejects her passionless marriage and must endu...","The Russian Messenger",1878,"Novel",9,8,73
20,"Alices Adventures in Wonderland","Lewis Carroll","In 1862 Charles Lutwidge Dodgson, a shy Oxford mathematician with a stammer, created a story about a little girl tumbling down a rabbit hole. Thus began the immortal adventures of Alice, perhaps th...","Macmillan",1865,"Fantasy",5,9,65
